2,19,35,24,28
40,17,21,7,49
41,14,13,29,16
32,7,45,21,26
19,10,48,3,21
22,31,3,7,14
15,46,34,23,40
11,27,13,2,31
18,9,14,47,42
15,26,28,8,43
18,21,28,41,4
44,41,46,35,5
3,5,45,18,13
23,11,12,17,10
28,16,35,34,3
14,48,15,36,9
27,14,6,4,5
4,9,27,7,32
18,4,30,37,3
17,9,7,44,20
16,9,6,28,38
28,9,49,38,29
31,32,23,1,26
7,23,15,28,36
23,48,36,15,31
13,36,48,7,11
30,25,12,8,21
40,12,15,5,27
37,34,33,25,35
41,23,5,39,7
1,33,28,29,21
22,47,29,39,9
30,43,2,20,46
49,26,4,45,41
39,30,19,3,33
32,36,42,30,21
2,17,36,24,5
15,47,35,34,42
4,41,39,2,33
38,34,4,35,47
42,44,35,23,5
27,44,33,38,30
47,33,11,34,12
8,3,23,46,43
3,24,30,49,10
49,48,5,36,15
41,25,8,24,39
22,24,45,19,30
13,4,49,29,31
35,5,38,7,20
25,46,8,47,30
49,3,37,19,14
20,47,45,44,11
8,49,34,29,26
2,36,13,30,18
22,1,41,28,23
9,30,48,34,4
15,16,35,46,1
46,27,15,33,2
3,45,29,24,14
31,22,25,41,35
24,42,26,16,28
12,36,38,19,4
21,23,6,8,3
36,35,7,37,14
49,27,26,31,9
27,18,16,30,13
7,10,31,30,36
3,17,29,35,47
39,25,38,15,30
19,5,16,34,29
10,12,1,6,38
16,21,36,23,11
10,40,14,8,33
30,49,1,23,22
23,14,3,21,17
39,8,43,45,49
4,25,20,44,1
42,35,19,12,3
45,42,5,9,33
10,42,33,2,45
37,12,49,27,30
8,23,43,15,46
21,22,11,7,49
6,32,46,23,42
13,18,14,29,31
28,29,44,40,21
26,49,10,16,8
42,46,12,4,19
19,28,33,16,35
40,35,6,24,42
41,35,19,37,1
1,21,42,22,5
25,24,5,3,2
2,8,3,12,36
5,25,32,14,22
15,8,26,9,6
1,19,8,28,45
26,14,18,32,15
44,48,47,32,28
24,27,22,44,39
12,25,17,10,40
44,24,35,9,8
17,42,33,37,34
17,2,36,8,30
5,33,10,13,30
48,36,14,25,10
41,35,10,16,3
21,25,33,39,46
15,14,21,1,35
6,33,48,13,10
11,4,43,6,2
45,29,36,4,22
31,19,9,27,20
40,12,43,48,33
29,40,16,12,26
3,32,19,27,8
5,15,45,17,3
45,29,31,39,46
17,27,29,7,41
38,34,46,20,10
23,26,39,4,17
16,44,2,9,13
27,5,10,11,32
31,15,33,47,43
2,40,28,15,20
12,2,40,19,48
3,49,30,19,26
20,23,4,44,2
19,40,25,24,45
39,42,26,20,30
25,48,39,15,32
31,42,10,27,20
18,4,35,27,9
36,25,21,22,10
16,39,24,6,15
46,15,40,29,8
30,13,46,20,32
1,44,42,12,8
25,42,19,13,20
34,26,49,14,1
11,49,8,42,44
9,15,31,40,37
20,41,4,40,22
19,20,27,7,26
12,45,13,5,48
16,3,15,39,28
1,4,10,17,30
26,5,37,39,31
3,34,45,42,24
25,10,40,19,12
18,40,25,43,15
3,11,45,41,32
3,48,45,1,35
42,5,12,18,7
20,9,27,7,26
7,40,9,31,26
25,47,34,28,30
5,12,40,38,4
4,38,24,27,30
24,35,4,41,9
36,18,6,43,15
36,26,34,29,37
43,36,35,5,45
48,24,4,20,46
49,8,37,2,16
32,35,7,48,38
28,26,35,45,17
2,4,38,14,8
46,2,23,38,27
15,12,23,17,49
22,15,38,47,8
5,20,40,10,12
1,7,8,37,21
41,3,6,37,17
35,17,7,44,37
25,32,6,29,1
37,40,36,30,48
26,13,31,4,29
4,23,45,47,33
22,25,31,23,32
45,18,43,46,26
24,33,35,4,18
42,49,45,1,44
5,7,43,12,10
6,39,5,45,1
8,5,26,41,9
17,45,28,42,2
45,11,13,21,34
38,39,25,14,18
9,37,39,36,32
23,22,34,26,14
8,43,22,39,15
37,4,32,42,33
37,12,1,42,48
2,46,26,34,8
8,33,38,35,47
33,41,36,32,15
29,46,11,41,22
48,35,15,12,25
7,6,38,42,15
20,8,43,39,27
23,15,44,38,43
5,40,18,22,12
2,20,19,29,16
32,15,12,37,27
31,24,20,39,17
26,41,33,37,10
7,3,8,1,26
8,5,12,40,25
43,40,19,13,31
26,13,32,16,34
27,20,11,48,43
5,6,18,44,42
43,2,15,4,37
16,24,38,28,3
32,14,47,20,3
38,25,36,22,5
34,13,44,40,47
47,10,6,31,48
35,33,47,19,32
43,3,2,25,15
43,23,42,13,11
19,39,29,6,44
43,11,16,3,14
36,13,23,9,45
15,5,16,28,32
28,7,35,40,48
32,9,44,38,41
40,1,6,21,33
12,37,31,35,44
41,32,4,34,16
46,43,18,25,30
28,8,32,6,47
16,6,10,12,29
44,11,41,34,6
40,36,49,5,29
45,37,44,21,24
31,10,12,9,41
45,24,14,23,48
32,12,20,16,26
49,9,7,23,37
22,30,38,21,29
6,43,8,48,3
36,17,14,11,25
23,11,31,2,28
19,44,15,38,14
30,43,46,12,39
41,3,12,46,30
6,48,43,30,45
40,12,32,37,49
4,3,29,38,13
6,11,18,8,39
33,4,48,12,9
31,20,4,25,6
28,26,48,40,15
8,20,49,9,3
48,3,9,5,42
37,24,10,5,17
12,14,35,26,36
5,48,41,34,13
39,4,27,29,41
31,47,20,18,8
38,1,42,27,3
17,20,49,16,28
40,5,48,17,44
7,47,19,43,46
30,29,2,44,22
22,15,42,43,16
31,37,13,14,15
46,45,19,39,49
47,2,32,40,16
23,21,42,32,34
25,15,47,44,6
43,1,28,27,24
49,13,26,27,2
27,24,30,13,45
42,14,22,13,32
32,18,10,14,33
10,2,39,34,7
9,10,48,6,26
21,5,8,49,46
36,5,8,18,38
12,2,33,15,41
3,37,20,22,44
38,24,26,11,41
12,42,49,33,27
32,38,28,13,33
18,28,19,11,17
46,47,31,6,38
44,16,15,47,27
17,36,23,10,13
43,28,47,20,40
40,43,27,22,16
25,29,36,46,4
5,26,22,14,20
28,6,4,12,42
18,42,14,29,20
21,2,22,47,13
19,47,1,40,49
17,45,23,33,21
35,1,17,36,27
24,47,44,32,42
24,19,32,44,43
24,16,48,34,3
4,7,39,34,27
32,44,45,26,41
16,22,18,41,14
17,42,21,43,28
24,45,13,19,44
45,5,46,3,20
37,32,6,11,47
10,29,14,4,39
34,5,22,42,9
37,49,17,45,13
21,38,12,4,46
26,12,46,32,41
27,31,41,3,32
44,18,5,40,47
37,2,39,38,42
29,1,20,27,4
22,14,38,41,11
20,15,45,7,23
14,41,10,8,42
6,19,38,10,43
26,34,2,33,39
4,31,34,7,41
27,6,11,15,22
24,15,32,22,39
46,38,29,23,26
29,9,49,19,38
22,43,1,24,39
23,22,35,6,9
42,19,23,14,29
48,16,31,9,28
36,25,11,1,29
39,49,31,34,42
45,19,41,32,8
27,15,21,47,37
29,27,44,21,41
7,6,33,31,4
46,16,41,38,47
41,29,5,42,18
31,39,22,41,4
32,4,10,39,45
41,30,49,34,29
3,47,46,9,1
44,36,23,9,8
32,9,23,45,40
30,19,12,26,33
42,22,27,49,12
36,16,18,15,20
13,18,14,20,21
2,28,37,40,49
27,43,31,12,4
11,39,41,27,37
5,43,16,12,13
37,20,41,31,18
21,4,41,32,39
3,16,30,8,29
6,18,11,20,44
24,38,5,25,30
39,28,14,29,26
1,20,11,39,34
42,2,36,19,30
7,20,45,9,19
49,22,14,19,9
11,36,28,16,29
28,20,44,13,12
49,47,10,6,21
34,21,49,32,19
9,10,40,24,21
12,36,28,43,11
10,45,48,26,17
10,40,45,20,21
37,23,42,43,20
41,9,32,36,34
44,17,13,2,45
5,9,49,18,14
42,38,40,6,35
7,13,16,3,35
33,3,6,34,39
30,25,3,28,26
9,34,22,46,3
16,24,26,10,18
